alarm_name,影响程度
[衍生告警]undefined5G小区退服,高
[衍生告警]爱立信5G基站退服,高
[衍生告警]爱立信5G小区退服,高
[衍生告警]大唐5G基站退服,高
[衍生告警]华为5G基站退服,高
[衍生告警]华为5G小区退服,高
[衍生告警]中兴5G基站退服,高
[衍生告警]中兴5G小区退服,高
【AI事件】四级事件-同机房设备故障导致超过5个5G|4G基站退服,高
DU小区退服,高
gNodeB NG接口故障告警,高
gNodeB退服告警,高
No Connection,高
NR DU小区闭塞告警,高
NR分布单元小区TRP不可用告警,高
NR小区不可用告警,高
PLMN Service Unavailable,高
SCTP链路目的地址不可达告警,高
Service Unavailable,高
超级小区CP关断,高
基站DU退服,高
基站退服,高
输入电源断,高
小区关断,高
小区退服,高
用户面承载链路故障告警,高
用户面故障告警,高
BBU CPRI光模块/电接口不在位告警,中
BBU单板维护链路异常告警,中
BBU直流输出异常告警,中
Carrier Resource Allocation Failure,中
Input Power Failure,中
Link Failure,中
MAC错帧超限告警,中
NEA和网元断连,中
Node Group Sync Loss of All SoCC,中
NR分布单元小区TRP服务能力下降告警,中
NR分布单元小区不可用告警,中
PB链路断,中
RHUB CPRI接口异常告警,中
RHUB光模块/电接口不在位告警,中
RHUB光模块故障告警,中
RHUB交流掉电告警,中
RHUB时钟异常告警,中
RHUB运行时拓扑异常告警,中
RRU链路断,中
RRU组网断点告警,中
SCTP链路拥塞告警,中
SCTP路径断开,中
Sync Inconsistent Configuration,中
板间业务链路异常告警,中
超级小区CP退服,中
传输光链路光信号丢失告警,中
单板闭塞告警,中
单板不在位,中
单板不在位告警,中
单板类型和配置不匹配告警,中
单板软件同步失败告警,中
单板软件运行异常告警,中
单板软件自动增补失败告警,中
单板时钟输入异常告警,中
单板通讯链路断,中
单板未插紧告警,中
单板下电告警,中
单板硬件故障,中
单板硬件故障告警,中
电源模块异常告警,中
分离主控制式冲突告警,中
光口链路故障,中
光模块不可用,中
基站业务不可用告警,中
基站直流供电异常告警,中
射频单元CPRI接口异常告警,中
射频单元掉电,中
射频单元工作模式与单板能力不匹配告警,中
射频单元光模块/电接口不在位告警,中
射频单元光模块故障告警,中
射频单元光模块类型不匹配告警,中
射频单元光模块温度异常告警,中
射频单元交流掉电告警,中
射频单元软件运行异常告警,中
射频单元时钟异常告警,中
射频单元维护链路异常告警,中
射频单元硬件故障告警,中
射频单元直流掉电告警,中
输入电压异常,中
网元连接中断,中
网元链路断,中
系统时钟失锁告警,中
小区建立失败,中
以太网链路故障告警,中
制式间RRU链环参数配置冲突告警,中
主区版本不可用告警,中
