地市,告警最后发生时间,网元名称,告警标题,网络类型,网络专业,厂商告警号,原始告警名称,告警定位信息,家宽客户数量,网管告警级别,集客业务数量,设备厂家名称,告警工程状态,告警清除状态,告警对象设备类型,告警对象设备名称,设备类型,预处理状态,衍生规则结果,工单号,告警清除时间,标准化标志,衍生时间,预计创单时间,告警首次处理时间,告警首次采集时间,集客客户级别,集客业务级别,电路ID,是否隐患告警,集客专线跨域属性,集客客户数量,跨省集客告警信息,探针名称,RCA资源匹配参数,ONU标识,IT专业设备CI号,网管告警ID
金华市,2023/6/26 20:54,cmiot5gywgjdwxm.zj,DNN用户数全掉线异常预警,5G专网,集客,11000003,,"项目名称:国网浙江义乌市供电有限公司订购5G专网专享开通业务,2023-06-26 20:54:51出现国网浙江义乌市供电有限公司订购5G专网专享开通业务DNN用户数全掉线异常预警，当前用户数0。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gywgjdwxm.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230626-00639,2023/6/26 21:06,标准化成功,,2023/6/26 20:59,2023/6/26 20:54,2023/6/26 20:54,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999107
金华市,2023/6/26 13:45,cmiot5gjhwchcdz.zj,浙江宏昌电器科技股份有限公司5G项目业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-26 11:45:17出现浙江宏昌电器科技股份有限公司5G项目DNN用户数全掉线异常预警，当前用户数0。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生父告警,,2023/6/26 17:13,标准化成功,2023/6/26 13:45,,2023/6/26 13:45,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999111
金华市,2023/6/26 11:45,cmiot5gjhwchcdz.zj,DNN用户数全掉线异常预警,5G专网,集客,11000003,,"项目名称:浙江宏昌电器科技股份有限公司5G项目,2023-06-26 11:45:17出现浙江宏昌电器科技股份有限公司5G项目DNN用户数全掉线异常预警，当前用户数0。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjhwchcdz.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230626-00331,2023/6/26 17:13,标准化成功,2023/6/26 13:45,2023/6/26 11:50,2023/6/26 11:45,2023/6/26 11:45,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999107
湖州市,2023/6/26 1:26,cmiot5gajnmny.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江纳美新材料股份有限公司5G+能源管理项目,2023-06-26 01:26:34出现浙江纳美新材料股份有限公司5G+能源管理项目DNN用户数较预测值突降异常预警，当前用户数8,预测用户数36。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gajnmny.zj,5G业务性能,未诊断,正常,,2023/6/26 1:30,标准化成功,,2023/6/26 1:31,2023/6/26 1:26,2023/6/26 1:26,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
湖州市,2023/6/26 0:50,cmiot5gajnmny.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江纳美新材料股份有限公司5G+能源管理项目,2023-06-26 00:50:35出现浙江纳美新材料股份有限公司5G+能源管理项目DNN用户数较预测值突降异常预警，当前用户数16,预测用户数37。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gajnmny.zj,5G业务性能,未诊断,正常,,2023/6/26 0:54,标准化成功,,2023/6/26 0:55,2023/6/26 0:50,2023/6/26 0:50,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
湖州市,2023/6/26 0:14,cmiot5gajnmny.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江纳美新材料股份有限公司5G+能源管理项目,2023-06-26 00:14:35出现浙江纳美新材料股份有限公司5G+能源管理项目DNN用户数较预测值突降异常预警，当前用户数3,预测用户数35。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gajnmny.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230626-00006,2023/6/26 0:22,标准化成功,,2023/6/26 0:19,2023/6/26 0:14,2023/6/26 0:14,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
宁波市,2023/6/25 1:35,cmiot5gdljtnb1.zj,得力5G+未来工厂项目业务中断超1.5小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:得力5G+未来工厂项目,2023-06-25 00:05:10出现得力5G+未来工厂项目DNN用户数较预测值突降异常预警，当前用户数6,预测用户数19。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gdljtnb1.zj,5G业务性能,未诊断,衍生父告警,,2023/6/25 7:57,标准化成功,2023/6/25 1:35,,2023/6/25 1:35,,,AAA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999111
宁波市,2023/6/25 0:05,cmiot5gdljtnb1.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:得力5G+未来工厂项目,2023-06-25 00:05:10出现得力5G+未来工厂项目DNN用户数较预测值突降异常预警，当前用户数6,预测用户数19。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gdljtnb1.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230625-00004,2023/6/25 7:57,标准化成功,2023/6/25 1:35,2023/6/25 0:10,2023/6/25 0:05,2023/6/25 0:05,,AAA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
宁波市,2023/6/24 3:17,cmiot5gyyzldznb.zj,DNN用户数全掉线异常预警,5G专网,集客,11000003,,"项目名称:宁波志伦电子5G+智能化工厂建设项目,2023-06-24 03:17:25出现宁波志伦电子5G+智能化工厂建设项目DNN用户数全掉线异常预警，当前用户数0。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gyyzldznb.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230624-00100,2023/6/24 3:25,标准化成功,,2023/6/24 3:22,2023/6/24 3:17,2023/6/24 3:17,,AAA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999107
衢州市,2023/6/23 22:07,cmiot5gqzgwdlgs.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:国网浙江省电力有限公司衢州供电公司无功补偿设备物联网业务APN建设项目,2023-06-23 22:07:24出现衢州国网浙江省电力有限公司衢州供电公司无功补偿设备物联网业务APN建设项目DNN用户数较预测值突降异常预警，当前用户数31,预测用户数52。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gqzgwdlgs.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230623-00559,2023/6/23 23:15,标准化成功,,2023/6/23 22:12,2023/6/23 22:07,2023/6/23 22:07,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
