,dnn,d1,d2,d3,d4,d5,d6,d7,d8,dist1,dist2,dist3,dist4,dist5,dist6,period
0,cmiot5gaymfz2nb.zj,14.909090909090935,31.599999999999984,48.40000000000009,47.4000000000001,46.60000000000009,49.6000000000001,10.999999999999995,35.6441558441559,12.399999999999995,5.4,7.0,5.75,7.75,51.49999999999979,no
1,cmiot5gbyjtyxgs.zj,20.565217391304355,21.45000000000003,17.842105263157887,20.157894736842117,30.285714285714217,25.57142857142852,14.450000000000003,21.474622892635303,17.99999999999999,12.894736842105246,14.947368421052602,13.450000000000022,14.950000000000012,23.300000000000058,yes
2,cmiot5gcblt.zj,46.0,1.0,0.0,0.0,15.0,55.5,20.0,19.642857142857142,45.5,1.0,0.0,0.0,0.0,2.0,no
3,cmiot5gcmictnb2.zj,15.238938053097353,29.86842105263164,26.59756097560969,32.82051282051294,34.72222222222226,41.10389610389601,27.084507042253524,29.633722610031917,33.40677966101702,27.771084337349397,21.766233766233718,18.2535211267606,21.500000000000107,28.471428571428632,yes
4,cmiot5gcncsdtgz.zj,7.400000000000002,21.999999999999954,30.199999999999946,44.40000000000006,47.800000000000146,29.399999999999945,19.599999999999962,28.68571428571429,10.200000000000001,31.39999999999992,24.199999999999946,21.0,39.5,34.599999999999916,yes
5,cmiot5gdlhzmjfk.zj,16.095238095238066,32.611111111111164,30.638888888889092,25.805555555555582,31.055555555555703,24.61111111111114,25.861111111111253,26.668367346938858,17.99999999999998,20.147058823529445,22.558823529411878,22.24242424242441,17.27272727272738,29.91666666666677,yes
6,cmiot5gdlhzpwzd.zj,5.799999999999996,13.666666666666659,10.999999999999996,29.666666666666693,39.99999999999996,34.57142857142857,33.71428571428565,24.059863945578222,7.666666666666669,10.500000000000005,12.833333333333325,7.500000000000003,7.500000000000003,11.33333333333333,yes
7,cmiot5gdljtnb.zj,23.3185840707964,32.368421052631476,26.726315789473592,23.510416666666668,29.073684210526167,31.305263157894597,23.136842105263064,27.062789579035996,18.61290322580648,16.749999999999996,19.09677419354839,18.892473118279575,15.076086956521737,22.180851063829742,yes
8,cmiot5gdljtnb1.zj,87.80555555555523,56.566666666666755,32.96666666666669,50.93333333333341,58.9655172413792,42.92857142857124,27.51724137931046,51.097650324497565,30.5,55.80000000000053,25.111111111111168,32.34615384615397,19.04347826086951,25.208333333333428,no
9,cmiot5gdlnbmjfk.zj,18.39534883720926,43.62068965517261,29.400000000000027,30.366666666666802,35.40625,27.03225806451611,25.035714285714256,29.893846787039866,19.58620689655177,25.900000000000105,20.866666666666664,26.6875,27.40625,20.45161290322583,yes
